id_node,Core number

0,1

23977,18

1,6

34526,2

2370,26

14683,29

29982,34

21142,34

20363,34

23830,21

34035,2

6067,2

19720,20

20183,2

3,4

4950,1

18029,15

3358,11

34935,16

5916,11

4,2

2865,2

9342,4

5,1

27803,34

6,6

18612,13

18876,34

31890,34

17647,22

18562,34

7,8

37493,30

33643,34

30199,34

35773,34

11273,28

12775,16

21864,34

9051,34

34957,7

21395,12

9891,14

9340,21

31260,11

14820,5

26666,34

22516,9

8,8

19253,34

11083,30

23973,28

36652,34

10080,33

14003,30

4793,30

9,5

15477,9

23914,14

33129,2

27768,3

19407,5

30596,25

10,28

35842,6

23589,34

37280,11

2078,34

23670,12

32836,18

34238,23

19345,13

19973,7

29557,32

33138,27

35762,22

4708,13

15495,28

10487,28

12102,24

27313,17

27450,34

19222,34

7843,8

19256,17

14478,11

26143,10

12894,27

11514,17

16321,34

35633,26

22564,30

22666,34

22674,5

5567,29

29876,31

33500,5

14720,8

32322,24

37577,21

36578,34

3797,30

4530,14

27340,16

26639,29

915,13

1407,24

10456,33

17332,13

13638,34

18850,34

1923,33

11271,34

31938,6

27314,24

16641,9

30002,34

7027,34

10535,12

29465,5

35008,34

23972,31

16995,10

21934,17

6229,34

29964,19

4469,8

11,2

12,6

20854,34

4398,6

9598,17

25134,13

13228,6

11051,34

13,3

5629,34

14,17

20880,30

34989,34

15143,25

36404,22

33988,34

30809,34

18638,34

18910,24

31126,34

7825,34

28922,25

34629,11

13396,26

23838,34

8635,34

4174,33

15,17

10219,22

17787,30

3368,17

12921,24

5310,28

9049,32

30833,1

23204,33

1501,28

33671,33

18163,34

29892,34

17,3

36099,21

32821,30

18,3

27696,4

23458,34

20,4

33863,25

27745,28

29082,31

3922,34

21,21

12261,17

23332,23

34114,31

21547,30

9553,34

22321,34

15191,34

14242,34

23783,27

37057,21

2282,32

2992,13

36632,5

19470,18

5300,34

20919,9

33029,34

10352,30

12986,27

29615,12

21847,21

20961,21

12396,22

3747,26

8172,32

6790,30

27877,11

5081,21

8360,25

1315,18

33684,20

22,6

32575,33

13685,22

291,5

3072,16

35241,28

23,9

21298,10

22584,28

21498,2

9173,9

19358,30

9388,5

14635,30

6221,12

35359,24

30235,32

24,15

28761,31

327,5

22059,23

7976,34

26877,30

12523,16

3712,34

32060,34

35558,29

10840,34

23267,29

9722,21

14805,8

2431,34

27954,5

