id_node,Triangles

0,0

23977,49

1,5

34526,0

2370,138

14683,197

29982,4216

21142,6315

20363,2622

23830,28

34035,0

6067,0

19720,33

20183,0

3,0

4950,0

18029,34

3358,18

34935,40

5916,34

4,0

2865,0

9342,4

5,0

27803,80286

6,5

18612,20

18876,1544

31890,63205

17647,95

18562,2180

7,9

37493,371

33643,1828

30199,2720

35773,22758

11273,129

12775,80

21864,1467

9051,5897

34957,9

21395,22

9891,69

9340,65

31260,26

14820,3

26666,2283

22516,23

8,21

19253,10675

11083,348

23973,478

36652,9303

10080,3237

14003,873

4793,851

9,5

15477,7

23914,66

33129,1

27768,1

19407,7

30596,170

10,156

35842,4

23589,3226

37280,14

2078,5088

23670,16

32836,43

34238,190

19345,10

19973,5

29557,388

33138,151

35762,101

4708,16

15495,129

10487,195

12102,320

27313,37

27450,1170

19222,27873

7843,2

19256,29

14478,11

26143,7

12894,155

11514,25

16321,659

35633,119

22564,286

22666,4373

22674,0

5567,840

29876,195

33500,2

14720,1

32322,89

37577,60

36578,1142

3797,226

4530,22

27340,9

26639,220

915,33

1407,122

10456,526

17332,11

13638,19762

18850,1521

1923,587

11271,1406

31938,2

27314,104

16641,11

30002,8049

7027,9232

10535,22

29465,0

35008,5779

23972,399

16995,18

21934,10

6229,1290

29964,60

4469,12

11,1

12,2

20854,2062

4398,6

9598,26

25134,28

13228,3

11051,4824

13,2

5629,3835

14,29

20880,270

34989,424

15143,276

36404,29

33988,2283

30809,2068

18638,1053

18910,133

31126,2666

7825,2111

28922,137

34629,7

13396,125

23838,2107

8635,4914

4174,1606

15,57

10219,115

17787,1063

3368,15

12921,120

5310,492

9049,337

30833,0

23204,1563

1501,608

33671,3831

18163,2707

29892,791

17,0

36099,32

32821,403

18,2

27696,4

23458,671

20,3

33863,393

27745,522

29082,1363

3922,3885

21,64

12261,23

23332,116

34114,432

21547,141

9553,1522

22321,2687

15191,3953

14242,7221

23783,167

37057,69

2282,456

2992,17

36632,0

19470,23

5300,3718

20919,14

33029,4104

10352,357

12986,169

29615,12

21847,111

20961,29

12396,86

3747,185

8172,277

6790,1000

27877,9

5081,51

8360,143

1315,34

33684,77

22,5

32575,444

13685,98

291,0

3072,17

35241,137

23,2

21298,9

22584,236

21498,0

9173,6

19358,334

9388,3

14635,190

6221,10

35359,42

30235,1169

24,23

28761,320

327,0

22059,72

7976,1047

26877,337

12523,31

3712,7406

32060,659

35558,248

10840,1343

23267,281

9722,49

14805,3

2431,2311

27954,0

6071,1

5061,725

31987,20

1739,2

26,8

32718,1549

17091,15

15554,432

3153,5263

29055,1691

34606,332

27,128

14755,65

28477,40

24094,1

12798,6

9947,80

35523,1779

19629,9

1659,40

37475,9

28014,290

11225,471

32771,13

30417,230

32452,24

34900,87

2035,96

18588,86

885,15

25948,0

30502,27

14177,110

18595,18

3491,1185

14947,15

17644,171

7415,39

25129,67

31525,873

14185,96

22836,194

25748,140

35065,1

33424,15

17949,1

23906,8

7847,73

831,8

3582,13

14341,136

7495,3

25819,129

25756,32

9339,71

32507,52

17221,30

12838,14

7075,271

714,11

1767,543

33833,213

479,6

13090,1

35668,43

24810,5

10001,8531

26298,5

11889,239

34059,9

27874,255

23051,97

26124,97

20024,269

29347,20

27031,266

31500,7

16621,29

1268,0

11720,36

28,0

13003,0

29,1

30,9

6631,3779

23664,3262

31,2

10808,2

23880,4

12505,609

15908,5

17736,20

2059,5

32,0

4293,32

22351,20

33,1

10510,258

5398,4

34,0

27474,68

3635,9

27804,0

18741,1

24655,40

25120,5

6452,174

18377,4

15977,11

20084,139

22253,1

15940,763

22464,28

22615,14

36628,12296

8626,16

